ID,Jobs_Name,Rating,Job_City,Company_Founded_Year,Type_Of_Ownership,Industry,Sector,Hourly_Salary,Employer_Provided_Salary,Salary_Lower,Salary_Upper,Salary_Avg,Company_Name,Job_State,Company_Age,Python,Spark,AWS,Excel,SQL,SAS,Keras,PyTorch,Scikit-learn,TensorFlow,Hadoop,Tableau,Power BI,Flink,MongoDB,Google Analytics,Job_Title_Sim,Seniority_Level,Employee_Degree,Ownership_Category
65,Senior Data Scientist,4.4,Cincinnati,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,0,0,82000,132000,107000.0,The David J. Joseph Company,Ohio,136,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,Data Scientist,Senior,Masters,Corporate
66,Data Scientist,4.3,New York,2011,Company - Private,Consulting,Business Services,0,0,84000,146000,115000.0,USEReady,New York,10,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
67,Senior Risk Data Scientist,3.8,Palo Alto,2006,Company - Public,Financial Transaction Processing,Finance,0,0,107000,172000,139500.0,Bill.com,California,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,Senior,Masters,Corporate
68,Data Scientist in Artificial Intelligence Early Career,3.8,Richland,1965,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,49000,85000,67000.0,Pacific Northwest National Laboratory,Washington,56,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Government
70,Data Scientist,3.8,Coraopolis,1948,Company - Public,Sporting Goods Stores,Retail,0,0,61000,109000,85000.0,DICK'S Sporting Goods - Corporate,Pennsylvania,73,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
72,Data Scientist,2.8,Framingham,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,88000,148000,118000.0,Berg Health,Massachusetts,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,PhD,Corporate
73,Data Scientist,4.7,Atlanta,2003,Company - Private,Computer Hardware & Software,Information Technology,0,0,60000,99000,79500.0,Oversight Systems,Georgia,18,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
75,Data Scientist - Research,3.1,Boston,1999,Company - Public,Advertising & Marketing,Business Services,0,0,41000,72000,56500.0,C Space,Massachusetts,22,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
76,Data Scientist,3.2,Philadelphia,,Company - Private,Staffing & Outsourcing,Business Services,0,0,96000,161000,128500.0,"Numeric, LLC",Pennsylvania,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
77,R&D Data Analysis Scientist,4.0,Vancouver,1939,Company - Public,Computer Hardware & Software,Information Technology,0,0,65000,130000,97500.0,HP Inc.,Washington,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,Masters,Corporate
78,Analytics Consultant,4.4,Indianapolis,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,52000,81000,66500.0,SpringML,Indiana,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Data Analyst,Not Specified,Not Specified,Corporate
79,"Director, Data Science",3.6,Lake Forest,1927,Company - Public,Wholesale,Business Services,0,0,139000,220000,179500.0,Grainger,Illinois,94,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
80,Scientist,2.7,Maryland Heights,1978,Subsidiary or Business Segment,Research & Development,Business Services,0,0,50000,102000,76000.0,EAG Laboratories,Missouri,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,PhD,Corporate
81,Data Scientist SR,3.9,Charlottesville,2010,Company - Private,IT Services,Information Technology,0,0,85000,139000,112000.0,The Buffalo Group,Virginia,11,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,Senior,Masters,Corporate
82,Data Scientist,3.1,Pittsburgh,1860,Company - Private,Mining,Mining & Metals,0,0,74000,122000,98000.0,Carmeuse,Pennsylvania,161,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
83,R&D Sr Data Scientist,4.0,Vancouver,1939,Company - Public,Computer Hardware & Software,Information Technology,0,0,99000,157000,128000.0,HP Inc.,Washington,82,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,Data Scientist,Senior,Masters,Corporate
84,Customer Data Scientist/Sales Engineer (Bay,4.3,Mountain View,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,79000,222000,150500.0,h2o.ai,California,10,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,Data Scientist,Not Specified,PhD,Corporate
85,Research Scientist,1.9,Cambridge,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,57000,118000,87500.0,GNS Healthcare,Massachusetts,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,Masters,Corporate
86,Data Scientist,3.3,Chantilly,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,83000,137000,110000.0,Peraton,Virginia,4,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
87,Data Scientist,4.4,San Jose,1995,Company - Private,IT Services,Information Technology,0,0,86000,141000,113500.0,Pactera,California,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
88,Data Scientist,3.9,San Francisco,2016,Company - Private,Health Care Services & Hospitals,Health Care,0,0,94000,154000,124000.0,Nurx,California,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
89,Jr. Business Data Analyst,4.7,Harrisburg,1997,Company - Private,Advertising & Marketing,Business Services,0,0,37000,76000,56500.0,webfx.com,Pennsylvania,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Data Analyst,Junior,Not Specified,Corporate
90,Data Scientist,4.5,Laurel,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,0,0,100000,160000,130000.0,Johns Hopkins University Applied Physics Laboratory,Maryland,79,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Nonprofit
91,Data Analyst,4.3,Chicago,2008,Company - Private,Computer Hardware & Software,Information Technology,0,0,55000,100000,77500.0,Productive Edge,Illinois,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Analyst,Not Specified,Not Specified,Corporate
92,Data Engineer,4.0,Arlington,2002,Company - Private,Consulting,Business Services,0,0,60000,114000,87000.0,Excella Consulting,Virginia,19,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Not Specified,Not Specified,Corporate
93,Data Analyst,4.4,Tacoma,1948,Company - Private,Wholesale,Business Services,0,0,39000,68000,53500.0,Gensco,Washington,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst,Not Specified,Not Specified,Corporate
96,Data Scientist,4.2,Miami,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,64000,107000,85500.0,goTRG,Florida,13,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
97,Data Management Specialist,4.5,Huntsville,1996,Company - Private,IT Services,Information Technology,0,0,31000,65000,48000.0,NMR Consulting,Alabama,25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Not Specified,Not Specified,Not Specified,Corporate
99,E-Commerce Data Analyst,3.5,New Orleans,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,34000,62000,48000.0,iSeatz,Louisiana,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Analyst,Not Specified,Not Specified,Corporate
101,Sr. Scientist II,3.5,San Francisco,1990,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,117000,231000,174000.0,Nektar Therapeutics,California,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Senior,Masters,Corporate
102,Insurance Data Scientist,3.9,Atlanta,1968,Company - Public,Financial Analytics & Research,Finance,0,0,64000,106000,85000.0,TransUnion,Georgia,53,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
104,Data Modeler,4.7,Landover,2003,Company - Private,IT Services,Information Technology,0,0,79000,134000,106500.0,IT Concepts,Maryland,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Modeler,Not Specified,Not Specified,Corporate
105,Data Analyst / Scientist,4.2,Patuxent River,1988,Company - Private,IT Services,Information Technology,0,0,52000,93000,72500.0,Scientific Research Corporation,Maryland,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst,Not Specified,Not Specified,Corporate
106,Scientist,3.4,Suitland,1996,Subsidiary or Business Segment,IT Services,Information Technology,0,0,55000,116000,85500.0,General Dynamics Information Technology,Maryland,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,Masters,Corporate
107,Data Scientist,3.2,McLean,1958,Nonprofit Organization,Federal Agencies,Government,0,0,72000,123000,97500.0,MITRE,Virginia,63,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,Data Scientist,Not Specified,Not Specified,Nonprofit
108,Data Scientist,3.9,Fort Belvoir,2010,Company - Private,IT Services,Information Technology,0,0,74000,124000,99000.0,The Buffalo Group,Virginia,11,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
109,Data Analyst,3.1,Milwaukee,2001,Company - Private,Insurance Carriers,Insurance,0,0,40000,73000,56500.0,DentaQuest,Wisconsin,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Analyst,Not Specified,Not Specified,Corporate
